cuisine,id
british,32939
italian,11808
chinese,23059
southern_us,16466
british,7315
indian,13178
indian,2751
mexican,41395
italian,20534
french,12111
southern_us,38708
mexican,37481
mexican,28048
cajun_creole,13123
french,2174
cajun_creole,17190
mexican,25756
moroccan,38180
cajun_creole,26892
mexican,23757
french,8553
thai,36272
indian,35224
southern_us,5203
irish,23565
indian,31420
chinese,43491
southern_us,38773
indian,15223
french,17763
brazilian,24528
southern_us,21704
mexican,45329
mexican,48876
mexican,3741
french,47710
french,9182
mexican,13782
korean,3369
southern_us,11985
korean,39817
greek,26869
indian,37461
italian,24217
french,2474
japanese,45929
french,12768
southern_us,924
british,13258
indian,7955
irish,37056
mexican,17934
british,5843
italian,46881
mexican,4049
southern_us,24173
spanish,4683
chinese,32612
mexican,11314
mexican,13550
indian,2483
italian,9573
vietnamese,34113
filipino,37865
brazilian,36951
moroccan,4703
indian,10734
jamaican,40444
indian,44334
italian,35991
southern_us,34020
southern_us,3743
chinese,18305
italian,7877
cajun_creole,10606
mexican,30584
japanese,9266
mexican,35196
mexican,41070
filipino,25930
southern_us,48564
chinese,14213
mexican,6618
southern_us,18479
french,10279
cajun_creole,30750
italian,45701
chinese,22947
japanese,6467
indian,16365
greek,7184
mexican,23270
southern_us,41805
japanese,7537
chinese,18616
indian,42857
jamaican,37906
italian,16846
mexican,573
greek,26657
british,12408
greek,38232
british,33447
mexican,40227
italian,35760
brazilian,1385
italian,47866
southern_us,30871
korean,22604
indian,39397
jamaican,38782
french,45343
brazilian,26112
french,10209
moroccan,31702
japanese,37943
mexican,23471
chinese,3529
moroccan,46794
mexican,16626
japanese,32361
cajun_creole,20932
indian,11183
italian,33661
mexican,12681
mexican,2450
southern_us,23979
italian,18465
italian,28234
mexican,47449
indian,33869
mexican,4924
thai,18862
indian,30556
british,35762
british,7396
mexican,21232
indian,18299
british,35468
italian,42838
cajun_creole,33972
filipino,46021
italian,1627
italian,28873
mexican,38927
chinese,25262
italian,19152
southern_us,11061
cajun_creole,27000
chinese,37396
mexican,47358
italian,47825
italian,24681
french,37706
cajun_creole,44056
greek,38298
italian,30788
southern_us,36144
italian,21792
mexican,31745
french,15104
thai,30589
indian,14235
british,2608
southern_us,34828
russian,3282
southern_us,4336
jamaican,25666
mexican,17831
cajun_creole,17008
mexican,35845
southern_us,19494
indian,30797
mexican,33763
southern_us,19950
british,23089
japanese,32074
chinese,49640
japanese,8403
italian,15879
mexican,7949
thai,31483
mexican,32928
southern_us,27647
italian,34616
french,21113
cajun_creole,41599
chinese,23924
italian,36335
cajun_creole,36194
mexican,10980
mexican,45999
italian,3943
italian,188
moroccan,5799
british,20964
french,2716
italian,5464
italian,17640
spanish,39437
thai,14835
british,3094
italian,14826
moroccan,30173
french,37811
japanese,22363
southern_us,6369
mexican,26850
italian,48887
mexican,44405
italian,21477
indian,32697
mexican,38843
mexican,20076
mexican,26429
thai,35648
spanish,41794
italian,22100
italian,30216
indian,17656
italian,17317
italian,4928
mexican,43965
southern_us,6404
korean,12274
southern_us,6651
french,40406
british,40933
mexican,23419
mexican,37867
italian,28834
chinese,23912
mexican,4791
japanese,36354
southern_us,32298
japanese,44577
korean,48859
cajun_creole,32485
spanish,8394
italian,7708
southern_us,38385
vietnamese,22622
thai,29716
mexican,44462
mexican,9422
mexican,22499
italian,36
italian,434
mexican,5479
southern_us,42420
spanish,47346
mexican,44568
greek,38650
mexican,19191
irish,22848
mexican,17886
french,6036
french,38608
japanese,12890
southern_us,15709
southern_us,13125
french,48454
southern_us,36627
italian,47884
southern_us,28
italian,45365
japanese,40795
indian,17651
italian,1530
chinese,17604
mexican,4700
italian,24972
mexican,23525
italian,7092
mexican,43757
mexican,4808
southern_us,7249
southern_us,27589
british,47523
italian,44244
vietnamese,10383
mexican,37285
chinese,21332
italian,7311
italian,28052
italian,31653
italian,1740
mexican,5484
southern_us,41406
southern_us,41907
mexican,46515
italian,38392
thai,15925
greek,5094
italian,31816
filipino,35713
mexican,31296
italian,41640
indian,22419
southern_us,47874
southern_us,6570
mexican,6936
southern_us,34063
italian,34141
southern_us,44572
italian,28425
mexican,38481
italian,18955
greek,46466
jamaican,5692
mexican,39836
indian,33718
italian,36250
japanese,286
italian,29766
southern_us,20541
british,31173
french,46440
french,23905
jamaican,37232
italian,8517
cajun_creole,21249
southern_us,32700
mexican,22845
italian,45461
russian,1307
cajun_creole,30010
mexican,21646
italian,28148
jamaican,26450
mexican,16602
french,9928
southern_us,27063
italian,22273
indian,12744
british,28272
jamaican,30350
southern_us,23362
greek,13645
southern_us,16942
italian,34970
irish,27829
mexican,38058
thai,13256
italian,31859
southern_us,43027
chinese,22235
southern_us,2933
italian,45981
italian,11460
cajun_creole,33770
french,24399
southern_us,8006
thai,48885
moroccan,42585
southern_us,40160
thai,45541
vietnamese,22410
thai,26226
indian,4591
indian,5457
mexican,39085
mexican,24040
thai,6576
cajun_creole,34310
japanese,27350
thai,9968
italian,2464
chinese,27952
mexican,43388
mexican,33143
thai,28083
mexican,15927
irish,10255
southern_us,8011
thai,5195
vietnamese,36015
french,40910
french,11309
cajun_creole,47556
french,27958
mexican,27198
filipino,643
indian,40853
japanese,15815
southern_us,2063
irish,19827
italian,33443
korean,44632
thai,26773
thai,3203
french,32873
vietnamese,24806
french,45942
filipino,1324
japanese,32526
brazilian,48093
italian,48942
italian,8845
italian,11546
mexican,44358
cajun_creole,3209
italian,10553
italian,44430
italian,44712
indian,16351
italian,44644
jamaican,31670
southern_us,49147
jamaican,19750
vietnamese,48121
italian,22722
italian,9910
italian,14236
thai,48341
thai,23190
italian,20362
southern_us,44794
mexican,39419
french,13526
russian,42270
mexican,37208
italian,33824
italian,29953
korean,16387
french,37672
italian,1868
vietnamese,24984
greek,47128
korean,44303
japanese,20318
italian,7513
spanish,13261
spanish,19259
italian,31103
italian,24037
southern_us,29984
southern_us,28159
greek,5318
mexican,23962
spanish,2084
italian,41793
french,18960
brazilian,17025
irish,15510
japanese,36832
italian,20643
mexican,4154
chinese,10510
brazilian,45117
italian,43403
filipino,42471
italian,6942
spanish,33309
southern_us,6689
italian,48687
italian,9880
mexican,25590
italian,21842
indian,27151
russian,565
mexican,21740
mexican,42399
greek,35928
british,47060
indian,43147
italian,16625
spanish,16769
southern_us,12515
chinese,14731
italian,11658
vietnamese,49467
italian,19749
brazilian,39723
italian,5722
southern_us,31967
chinese,39857
italian,16534
italian,27334
mexican,32215
british,34903
italian,24990
moroccan,31307
mexican,38874
italian,24130
chinese,27816
korean,939
southern_us,38293
southern_us,7889
southern_us,22114
japanese,24614
thai,48827
irish,3387
mexican,41676
mexican,3152
mexican,38805
chinese,27078
italian,34940
chinese,16855
mexican,41891
indian,36715
mexican,49455
spanish,26522
southern_us,28420
french,329
mexican,18986
southern_us,31705
italian,7402
southern_us,10212
korean,10640
indian,38014
italian,5172
southern_us,26986
vietnamese,5088
mexican,24522
mexican,1900
mexican,4801
japanese,27932
italian,30941
mexican,42354
russian,48854
italian,39058
french,34294
british,46593
mexican,22582
mexican,36937
french,34596
french,42570
southern_us,10147
mexican,44796
mexican,46819
mexican,30905
italian,34980
italian,49265
french,37563
chinese,25673
french,14267
cajun_creole,32410
thai,26392
italian,27384
chinese,43045
mexican,22576
greek,11597
french,22656
greek,47811
french,7925
korean,14860
chinese,27525
italian,7798
french,10848
french,19062
italian,32224
mexican,11529
russian,12155
southern_us,30628
chinese,21909
mexican,14291
mexican,3323
french,6502
italian,25833
british,31108
italian,47484
italian,27396
filipino,48147
mexican,10489
